Sequential # of First Verse in Pericope	# of Verses in Pericope	Canon Order	Heading	Verse Range
1	34	1	The Beginning	GEN 1:1-2:3
35	22	2	Adam and Eve	GEN 2:4-25
57	24	3	The Fall of Man	GEN 3:1-24
81	26	4	Cain and Abel	GEN 4:1-26
107	32	5	From Adam to Noah	GEN 5:1-32
139	68	6	The Flood	GEN 6:1-8:22
207	17	7	God's Covenant With Noah	GEN 9:1-17
224	12	8	The Sons of Noah	GEN 9:18-29
236	32	9	The Table of Nations	GEN 10:1-32
268	9	10	The Tower of Babel	GEN 11:1-9
277	23	11	From Shem to Abram	GEN 11:10-32
300	9	12	The Call of Abram	GEN 12:1-9
309	11	13	Abram in Egypt	GEN 12:10-20
320	18	14	Abram and Lot Separate	GEN 13:1-18
338	24	15	Abram Rescues Lot	GEN 14:1-24
362	21	16	God's Covenant With Abram	GEN 15:1-21
383	16	17	Hagar and Ishmael	GEN 16:1-16
399	27	18	The Covenant of Circumcision	GEN 17:1-27
426	15	19	The Three Visitors	GEN 18:1-15
441	18	20	Abraham Pleads for Sodom	GEN 18:16-33
459	29	21	Sodom and Gomorrah Destroyed	GEN 19:1-29
488	9	22	Lot and His Daughters	GEN 19:30-38
497	18	23	Abraham and Abimelech	GEN 20:1-18
515	7	24	The Birth of Isaac	GEN 21:1-7
522	14	25	Hagar and Ishmael Sent Away	GEN 21:8-21
536	13	26	The Treaty at Beersheba	GEN 21:22-34
549	19	27	Abraham Tested	GEN 22:1-19
568	5	28	Nahor's Sons	GEN 22:20-24
573	20	29	The Death of Sarah	GEN 23:1-20
593	67	30	Isaac and Rebekah	GEN 24:1-67
660	11	31	The Death of Abraham	GEN 25:1-11
671	7	32	Ishmael's Sons	GEN 25:12-18
678	16	33	Jacob and Esau	GEN 25:19-34
694	35	34	Isaac and Abimelech	GEN 26:1-35
729	40	35	Jacob Gets Isaac's Blessing	GEN 27:1-40
769	15	36	Jacob Flees to Laban	GEN 27:41-28:9
784	13	37	Jacob's Dream at Bethel	GEN 28:10-22
797	14	38	Jacob Arrives in Paddan Aram	GEN 29:1-14
811	16	39	Jacob Marries Leah and Rachel	GEN 29:15-30
827	29	40	Jacob's Children	GEN 29:31-30:24
856	19	41	Jacob's Flocks Increase	GEN 30:25-43
875	21	42	Jacob Flees From Laban	GEN 31:1-21
896	34	43	Laban Pursues Jacob	GEN 31:22-55
930	21	44	Jacob Prepares to Meet Esau	GEN 32:1-21
951	11	45	Jacob Wrestles With God	GEN 32:22-32
962	20	46	Jacob Meets Esau	GEN 33:1-20
982	31	47	Dinah and the Shechemites	GEN 34:1-31
1013	15	48	Jacob Returns to Bethel	GEN 35:1-15
1028	14	49	The Deaths of Rachel and Isaac	GEN 35:16-29
1042	30	50	Esau's Descendants	GEN 36:1-30
1072	13	51	The Rulers of Edom	GEN 36:31-43
1085	11	52	Joseph's Dreams	GEN 37:1-11
1096	25	53	Joseph Sold by His Brothers	GEN 37:12-36
1121	30	54	Judah and Tamar	GEN 38:1-30
1151	23	55	Joseph and Potiphar's Wife	GEN 39:1-23
1174	23	56	The Cupbearer and the Baker	GEN 40:1-23
1197	40	57	Pharaoh's Dreams	GEN 41:1-40
1237	17	58	Joseph in Charge of Egypt	GEN 41:41-57
1254	38	59	Joseph's Brothers Go to Egypt	GEN 42:1-38
1292	34	60	The Second Journey to Egypt	GEN 43:1-34
1326	34	61	A Silver Cup in a Sack	GEN 44:1-34
1360	28	62	Joseph Makes Himself Known	GEN 45:1-28
1388	46	63	Jacob Goes to Egypt	GEN 46:1-47:12
1434	19	64	Joseph and the Famine	GEN 47:13-31
1453	22	65	Manasseh and Ephraim	GEN 48:1-22
1475	28	66	Jacob Blesses His Sons	GEN 49:1-28
1503	19	67	The Death of Jacob	GEN 49:29-50:14
1522	7	68	Joseph Reassures His Brothers	GEN 50:15-21
1529	5	69	The Death of Joseph	GEN 50:22-26
1534	22	70	The Israelites Oppressed	EXOD 1:1-22
1556	10	71	The Birth of Moses	EXOD 2:1-10
1566	15	72	Moses Flees to Midian	EXOD 2:11-25
1581	22	73	Moses and the Burning Bush	EXOD 3:1-22
1603	17	74	Signs for Moses	EXOD 4:1-17
1620	14	75	Moses Returns to Egypt	EXOD 4:18-31
1634	21	76	Bricks Without Straw	EXOD 5:1-21
1655	14	77	God Promises Deliverance	EXOD 5:22-6:12
1669	15	78	Family Record of Moses and Aaron	EXOD 6:13-27
1684	10	79	Aaron to Speak for Moses	EXOD 6:28-7:7
1694	6	80	Aaron's Staff Becomes a Snake	EXOD 7:8-13
1700	11	81	The Plague of Blood	EXOD 7:14-24
1711	16	82	The Plague of Frogs	EXOD 7:25-8:15
1727	4	83	The Plague of Gnats	EXOD 8:16-19
1731	13	84	The Plague of Flies	EXOD 8:20-32
1744	7	85	The Plague on Livestock	EXOD 9:1-7
1751	5	86	The Plague of Boils	EXOD 9:8-12
1756	23	87	The Plague of Hail	EXOD 9:13-35
1779	20	88	The Plague of Locusts	EXOD 10:1-20
1799	9	89	The Plague of Darkness	EXOD 10:21-29
1808	10	90	The Plague on the Firstborn	EXOD 11:1-10
1818	30	91	The Passover	EXOD 12:1-30
1848	12	92	The Exodus	EXOD 12:31-42
1860	9	93	Passover Restrictions	EXOD 12:43-51
1869	16	94	Consecration of the Firstborn	EXOD 13:1-16
1885	37	95	Crossing the Sea	EXOD 13:17-14:31
1922	21	96	The Song of Moses and Miriam	EXOD 15:1-21
1943	6	97	The Waters of Marah and Elim	EXOD 15:22-27
1949	36	98	Manna and Quail	EXOD 16:1-36
1985	7	99	Water From the Rock	EXOD 17:1-7
1992	9	100	The Amalekites Defeated	EXOD 17:8-16
2001	27	101	Jethro Visits Moses	EXOD 18:1-27
2028	25	102	At Mount Sinai	EXOD 19:1-25
2053	21	103	The Ten Commandments	EXOD 20:1-21
2074	6	104	Idols and Altars	EXOD 20:22-21:1
2080	10	105	Hebrew Servants	EXOD 21:2-11
2090	25	106	Personal Injuries	EXOD 21:12-36
2115	15	107	Protection of Property	EXOD 22:1-15
2130	16	108	Social Responsibility	EXOD 22:16-31
2146	9	109	Laws of Justice and Mercy	EXOD 23:1-9
2155	4	110	Sabbath Laws	EXOD 23:10-13
2159	6	111	The Three Annual Festivals	EXOD 23:14-19
2165	14	112	God's Angel to Prepare the Way	EXOD 23:20-33
2179	18	113	The Covenant Confirmed	EXOD 24:1-18
2197	9	114	Offerings for the Tabernacle	EXOD 25:1-9
2206	13	115	The Ark	EXOD 25:10-22
2219	8	116	The Table	EXOD 25:23-30
2227	10	117	The Lampstand	EXOD 25:31-40
2237	37	118	The Tabernacle	EXOD 26:1-37
2274	8	119	The Altar of Burnt Offering	EXOD 27:1-8
2282	11	120	The Courtyard	EXOD 27:9-19
2293	2	121	Oil for the Lampstand	EXOD 27:20-21
2295	5	122	The Priestly Garments	EXOD 28:1-5
2300	9	123	The Ephod	EXOD 28:6-14
2309	16	124	The Breastpiece	EXOD 28:15-30
2325	13	125	Other Priestly Garments	EXOD 28:31-43
2338	46	126	Consecration of the Priests	EXOD 29:1-46
2384	10	127	The Altar of Incense	EXOD 30:1-10
2394	6	128	Atonement Money	EXOD 30:11-16
2400	5	129	Basin for Washing	EXOD 30:17-21
2405	12	130	Anointing Oil	EXOD 30:22-33
2417	5	131	Incense	EXOD 30:34-38
2422	11	132	Bezalel and Oholiab	EXOD 31:1-11
2433	7	133	The Sabbath	EXOD 31:12-18
2440	41	134	The Golden Calf	EXOD 32:1-33:6
2481	5	135	The Tent of Meeting	EXOD 33:7-11
2486	12	136	Moses and the Glory of the LORD	EXOD 33:12-23
2498	28	137	The New Stone Tablets	EXOD 34:1-28
2526	7	138	The Radiant Face of Moses	EXOD 34:29-35
2533	3	139	Sabbath Regulations	EXOD 35:1-3
2536	26	140	Materials for the Tabernacle	EXOD 35:4-29
2562	13	141	Bezalel and Oholiab	EXOD 35:30-36:7
2575	31	142	The Tabernacle	EXOD 36:8-38
2606	9	143	The Ark	EXOD 37:1-9
2615	7	144	The Table	EXOD 37:10-16
2622	8	145	The Lampstand	EXOD 37:17-24
2630	5	146	The Altar of Incense	EXOD 37:25-29
2635	7	147	The Altar of Burnt Offering	EXOD 38:1-7
2642	1	148	Basin for Washing	EXOD 38:8-8
2643	12	149	The Courtyard	EXOD 38:9-20
